h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.011	0.004	-1.758	1	0.250	0.138	0.151	15.731	-2.217	
0.047	0.003	-1.701	1	0.250	0.138	0.320	15.081	-2.531	
0.063	0.004	-1.820	2	0.250	0.138	0.316	11.325	-6.097	
0.392	0.003	-1.970	1	0.250	0.138	1.160	12.108	-1.357	
0.322	0.002	-1.877	1	0.250	0.138	0.990	11.770	-1.683	
0.009	0.002	-1.696	1	0.250	0.138	0.139	15.367	-2.562	
0.074	0.002	-1.828	1	0.250	0.138	0.407	13.462	-1.886	
0.002	0.003	-1.791	2	0.250	0.138	0.058	15.745	-6.162	
0.028	0.002	-1.814	2	0.250	0.138	0.213	11.754	-6.110	
0.041	0.003	-1.971	1	0.251	0.138	0.299	13.312	-1.355	
0.061	0.002	-1.845	2	0.251	0.138	0.260	13.088	-6.047	
0.023	0.002	-1.847	3	0.251	0.138	0.170	12.831	-10.282	
0.002	0.002	-1.728	1	0.251	0.138	0.071	13.987	-2.377	
0.005	0.002	-1.726	2	0.251	0.139	0.083	13.867	-6.345	
0.179	0.002	-1.637	1	0.251	0.139	0.676	14.260	-2.943	
0.025	0.003	-1.586	3	0.251	0.139	0.167	14.250	-10.564	
0.050	0.003	-1.697	1	0.251	0.139	0.330	14.002	-2.558	
0.018	0.002	-1.889	1	0.251	0.139	0.197	14.048	-1.639	
0.005	0.002	-1.998	4	0.252	0.139	0.053	14.081	-15.043	
0.070	0.002	-1.903	1	0.252	0.139	0.397	13.109	-1.587	
0.094	0.002	-1.881	1	0.252	0.139	0.465	12.903	-1.667	
0.021	0.003	-1.810	2	0.252	0.139	0.150	13.788	-6.120	
0.565	0.003	-1.797	2	0.252	0.140	1.162	10.992	-6.148	
0.534	0.003	-1.797	2	0.252	0.140	1.094	11.722	-6.149	
0.367	0.004	-1.914	3	0.252	0.139	0.817	8.473	-10.335	
0.379	0.004	-1.695	2	0.251	0.139	0.797	12.046	-6.452	
0.003	0.003	-1.626	1	0.252	0.140	0.082	14.480	-3.015	
0.025	0.003	-1.686	2	0.252	0.140	0.193	11.983	-6.486	
0.131	0.002	-1.702	1	0.252	0.140	0.562	14.538	-2.527	
0.028	0.002	-1.810	3	0.252	0.140	0.141	13.148	-10.271	
0.103	0.002	-1.806	2	0.252	0.140	0.345	13.559	-6.129	
0.186	0.003	-1.935	1	0.252	0.140	0.690	12.584	-1.472	
0.183	0.003	-2.025	2	0.252	0.140	0.483	12.585	-5.848	
0.067	0.003	-2.038	2	0.252	0.140	0.275	13.258	-5.843	
0.213	0.002	-2.009	1	0.252	0.140	0.753	13.824	-1.240	
0.066	0.004	-2.019	1	0.252	0.140	0.383	14.813	-1.213	
0.233	0.003	-2.074	1	0.251	0.140	0.796	14.194	-1.068	
0.215	0.003	-2.101	1	0.251	0.140	0.757	14.244	-1.003	
0.044	0.002	-2.080	1	0.251	0.140	0.310	13.363	-1.051	
0.448	0.003	-1.930	2	0.251	0.140	0.919	11.525	-5.921	
0.514	0.001	-1.893	1	0.251	0.140	1.488	13.147	-1.623	
0.564	0.002	-1.933	1	0.251	0.139	1.644	13.473	-1.480	
0.596	0.001	-1.977	1	0.250	0.139	1.752	11.640	-1.336	
0.859	0.003	-1.973	1	0.250	0.139	3.568	10.929	-1.348	
0.631	0.004	-1.966	1	0.250	0.139	1.888	11.514	-1.369	
0.503	0.002	-1.918	1	0.250	0.139	1.455	13.595	-1.531	
0.760	0.003	-1.897	1	0.250	0.139	2.575	12.928	-1.608	
0.761	0.001	-1.888	1	0.250	0.139	2.580	12.926	-1.641	
0.705	0.003	-1.932	1	0.249	0.139	2.233	12.741	-1.481	
0.684	0.003	-1.930	1	0.249	0.138	2.124	13.121	-1.489	
0.284	0.002	-2.063	2	0.249	0.139	0.643	11.710	-5.836	
0.026	0.004	-2.053	2	0.249	0.139	0.192	16.052	-5.839	
0.077	0.004	-2.090	1	0.249	0.138	0.417	14.403	-1.027	
0.010	0.001	-2.068	1	0.249	0.138	0.143	13.054	-1.082	
0.011	0.002	-2.057	1	0.249	0.138	0.151	15.634	-1.110	
0.139	0.002	-2.059	1	0.249	0.138	0.579	12.739	-1.105	
0.076	0.003	-2.080	1	0.249	0.138	0.413	13.019	-1.053	
0.137	0.004	-2.038	1	0.249	0.138	0.574	12.954	-1.159	
0.039	0.002	-1.883	2	0.249	0.138	0.214	11.454	-5.983	
0.428	0.003	-1.876	1	0.249	0.138	1.249	11.987	-1.687	
0.489	0.003	-1.881	2	0.249	0.138	1.244	8.265	-5.986	
0.268	0.002	-1.926	1	0.249	0.138	0.873	12.300	-1.503	
0.047	0.003	-1.699	1	0.249	0.138	0.321	13.243	-2.546	
0.230	0.003	-1.653	1	0.249	0.138	0.789	12.434	-2.831	
0.108	0.002	-1.687	1	0.249	0.138	0.503	12.887	-2.614	
0.091	0.002	-1.430	1	0.249	0.138	0.454	12.555	-4.775	
0.084	0.004	-1.325	4	0.249	0.138	0.286	11.809	-15.117	
0.610	0.003	-1.387	2	0.249	0.138	1.276	11.573	-8.434	
0.508	0.002	-1.515	1	0.249	0.138	1.466	11.687	-3.908	
0.603	0.003	-1.511	1	0.249	0.138	1.783	13.296	-3.946	
0.640	0.002	-1.548	1	0.249	0.138	1.918	11.755	-3.617	
0.408	0.003	-1.487	1	0.249	0.138	1.201	13.786	-4.171	
0.009	0.002	-1.718	1	0.249	0.138	0.139	15.788	-2.438	
0.004	0.003	-1.715	2	0.249	0.138	0.065	15.453	-6.380	
0.091	0.002	-1.774	1	0.249	0.138	0.456	13.693	-2.138	
0.067	0.003	-2.060	1	0.249	0.138	0.386	13.004	-1.103	
0.023	0.004	-2.003	2	0.249	0.139	0.188	12.608	-5.860	
0.002	0.003	-1.976	3	0.250	0.139	0.047	13.509	-10.417	
0.167	0.003	-1.975	2	0.250	0.139	0.474	11.446	-5.879	
0.180	0.003	-1.911	1	0.249	0.139	0.678	12.959	-1.556	
0.082	0.003	-1.870	1	0.249	0.139	0.433	14.367	-1.712	
0.051	0.003	-1.789	1	0.249	0.139	0.334	13.415	-2.064	
0.040	0.004	-1.630	2	0.250	0.139	0.239	14.222	-6.718	
0.045	0.001	-1.740	1	0.250	0.139	0.314	13.306	-2.315	
0.340	0.002	-1.757	1	0.250	0.139	1.032	12.372	-2.222	
0.277	0.003	-1.864	1	0.250	0.139	0.894	12.340	-1.734	
0.316	0.002	-1.661	1	0.250	0.139	0.981	11.851	-2.782	
0.302	0.002	-1.584	2	0.250	0.139	0.671	12.038	-6.950	
0.017	0.003	-1.654	3	0.250	0.139	0.139	12.109	-10.398	
0.376	0.003	-1.552	1	0.250	0.139	1.121	12.803	-3.590	
0.348	0.003	-1.607	1	0.250	0.139	1.055	12.161	-3.150	
0.339	0.005	-1.630	2	0.250	0.139	0.841	11.516	-6.718	
0.441	0.004	-1.604	1	0.250	0.139	1.283	13.720	-3.173	
0.329	0.004	-1.664	2	0.250	0.139	0.855	8.859	-6.571	
0.208	0.003	-1.592	1	0.250	0.139	0.740	14.267	-3.267	
0.012	0.003	-1.756	3	0.250	0.140	0.120	12.260	-10.281	
0.009	0.002	-1.753	1	0.250	0.140	0.140	15.784	-2.246	
0.317	0.003	-1.598	1	0.250	0.140	0.983	12.564	-3.222	
0.247	0.002	-1.770	1	0.250	0.140	0.827	12.342	-2.156	
0.018	0.002	-1.734	1	0.250	0.140	0.195	15.101	-2.348	
