h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.122	0.005	-1.795	1	0.252	0.069	0.545	15.466	-2.229	
0.013	0.003	-1.682	1	0.252	0.069	0.167	16.282	-2.902	
0.019	0.003	-1.738	1	0.252	0.069	0.205	16.187	-2.545	
0.062	0.002	-1.604	2	0.252	0.069	0.263	12.675	-7.144	
0.162	0.005	-1.519	1	0.252	0.069	0.643	14.552	-4.241	
0.270	0.002	-1.590	1	0.252	0.069	0.889	14.070	-3.594	
0.007	0.003	-1.599	1	0.252	0.069	0.122	15.344	-3.519	
0.031	0.003	-1.624	2	0.252	0.069	0.226	14.640	-7.036	
0.004	0.003	-1.574	2	0.252	0.069	0.064	15.316	-7.330	
0.010	0.004	-1.557	4	0.252	0.068	0.073	13.268	-14.552	
0.088	0.002	-1.640	1	0.252	0.069	0.455	15.935	-3.197	
0.002	0.003	-1.672	2	0.252	0.068	0.047	15.662	-6.797	
0.045	0.003	-1.705	2	0.252	0.068	0.220	14.069	-6.656	
0.048	0.005	-1.806	1	0.252	0.069	0.329	15.927	-2.173	
0.239	0.002	-1.868	1	0.252	0.069	0.819	16.235	-1.885	
0.182	0.002	-1.822	1	0.252	0.069	0.691	16.334	-2.095	
0.103	0.002	-1.889	1	0.252	0.069	0.496	16.197	-1.795	
0.007	0.004	-1.835	2	0.252	0.068	0.110	16.498	-6.242	
0.247	0.003	-1.764	1	0.252	0.068	0.839	15.831	-2.395	
0.015	0.004	-1.670	2	0.252	0.068	0.130	15.786	-6.805	
0.363	0.003	-1.777	1	0.252	0.068	1.105	15.323	-2.325	
0.054	0.005	-1.884	2	0.252	0.068	0.299	15.737	-6.139	
0.119	0.004	-1.964	1	0.252	0.068	0.538	15.322	-1.507	
0.032	0.004	-1.987	1	0.253	0.068	0.265	15.551	-1.429	
0.003	0.002	-2.106	2	0.252	0.068	0.060	15.023	-5.927	
0.082	0.002	-2.055	1	0.252	0.068	0.437	15.236	-1.221	
0.161	0.003	-2.040	1	0.252	0.068	0.642	15.162	-1.264	
0.018	0.002	-2.032	1	0.253	0.068	0.201	16.109	-1.289	
0.266	0.004	-2.037	1	0.253	0.068	0.881	15.171	-1.272	
0.285	0.005	-2.100	1	0.253	0.068	0.923	14.867	-1.100	
0.286	0.004	-2.049	1	0.253	0.068	0.927	14.645	-1.238	
0.282	0.003	-1.963	1	0.253	0.068	0.916	15.213	-1.511	
0.424	0.004	-1.959	1	0.253	0.068	1.255	15.145	-1.525	
0.310	0.002	-2.069	1	0.253	0.068	0.981	15.566	-1.182	
0.296	0.001	-2.083	1	0.253	0.068	0.948	15.758	-1.144	
0.488	0.005	-2.038	1	0.253	0.068	1.427	14.926	-1.271	
0.322	0.004	-2.096	1	0.253	0.068	1.007	15.597	-1.111	
0.177	0.003	-2.073	1	0.253	0.068	0.678	16.349	-1.172	
0.288	0.003	-2.016	1	0.253	0.068	0.930	15.810	-1.336	
0.494	0.001	-2.029	1	0.253	0.068	1.445	15.337	-1.297	
0.382	0.002	-2.131	1	0.253	0.068	1.150	15.354	-1.024	
0.360	0.002	-2.076	1	0.253	0.068	1.097	14.865	-1.164	
0.113	0.004	-2.122	1	0.253	0.068	0.522	15.069	-1.046	
0.191	0.002	-2.104	1	0.253	0.068	0.712	15.222	-1.090	
0.117	0.003	-2.139	1	0.253	0.068	0.532	15.857	-1.006	
0.028	0.005	-2.074	1	0.253	0.068	0.250	16.987	-1.167	
0.008	0.003	-1.930	1	0.253	0.068	0.132	17.666	-1.631	
0.043	0.004	-1.937	1	0.253	0.068	0.312	16.913	-1.603	
0.027	0.005	-1.898	1	0.253	0.068	0.245	16.621	-1.758	
0.091	0.002	-1.856	1	0.253	0.068	0.462	16.539	-1.934	
0.103	0.001	-1.935	1	0.253	0.068	0.495	16.242	-1.611	
0.037	0.003	-1.953	1	0.253	0.068	0.288	17.428	-1.547	
0.016	0.003	-1.995	2	0.253	0.068	0.169	16.470	-5.986	
0.011	0.002	-1.992	1	0.253	0.068	0.152	17.881	-1.412	
0.387	0.002	-1.809	1	0.253	0.068	1.162	15.801	-2.161	
0.084	0.004	-1.959	1	0.253	0.068	0.443	17.272	-1.525	
0.022	0.003	-1.923	1	0.253	0.068	0.217	16.950	-1.658	
0.062	0.003	-1.973	2	0.253	0.067	0.316	14.472	-6.008	
0.088	0.004	-1.985	1	0.253	0.067	0.456	15.640	-1.437	
0.461	0.002	-1.927	1	0.253	0.067	1.354	14.925	-1.643	
