snp	 s0	s1	s2	s3	
4	43	60	73	126	
4	37	59	73	126	
4	41	59	73	126	
4	50	65	73	126	
4	43	65	73	126	
4	41	65	73	126	
4	41	60	73	126	
4	37	60	73	126	
4	33	63	73	126	
4	35	62	73	126	
4	37	62	73	126	
4	48	64	73	126	
4	48	64	73	126	
4	48	64	73	126	
4	50	64	73	126	
4	50	63	73	126	
4	50	63	73	126	
4	36	60	73	126	
4	36	61	73	126	
4	34	63	73	126	
4	34	62	73	126	
4	37	62	73	126	
4	31	65	73	126	
4	29	65	73	126	
4	37	65	73	126	
4	37	65	73	126	
4	37	65	73	126	
4	36	59	73	126	
4	44	59	73	126	
4	46	60	73	126	
4	52	60	73	126	
4	52	62	73	126	
4	53	61	73	126	
4	53	61	73	126	
4	53	65	73	126	
4	53	65	73	126	
4	41	65	73	126	
4	41	62	73	126	
4	49	62	73	126	
4	49	62	73	126	
4	49	60	73	126	
4	49	60	73	126	
4	48	63	73	126	
4	43	63	73	126	
4	49	59	73	126	
4	49	60	73	126	
4	52	60	73	126	
4	48	60	73	126	
4	53	60	73	126	
4	36	65	73	126	
4	36	65	73	126	
4	32	65	73	126	
4	33	65	73	126	
4	26	64	73	126	
4	24	64	73	126	
4	24	64	73	126	
4	25	60	73	126	
4	25	64	73	126	
4	25	63	73	126	
4	25	61	73	126	
4	31	61	73	126	
4	36	61	73	126	
4	37	65	73	126	
4	37	64	73	126	
4	37	62	73	126	
4	41	64	73	126	
4	46	64	73	126	
4	29	64	73	126	
4	37	64	73	126	
4	36	65	73	126	
4	31	65	73	126	
4	26	65	73	126	
4	26	65	73	126	
4	36	59	73	126	
4	36	59	73	126	
4	36	63	73	126	
4	36	61	73	126	
4	37	61	73	126	
4	29	65	73	126	
4	49	60	73	126	
4	41	60	73	126	
4	45	60	73	126	
4	41	64	73	126	
4	41	64	73	126	
4	40	65	73	126	
4	32	65	73	126	
4	26	60	73	126	
4	26	65	73	126	
4	26	65	73	126	
4	26	65	73	126	
4	38	61	73	126	
4	52	61	73	126	
4	52	62	73	126	
4	45	64	73	126	
4	45	65	73	126	
4	53	65	73	126	
4	53	61	73	126	
4	41	65	73	126	
4	38	64	73	126	
4	38	64	73	126	
4	32	61	73	126	
4	40	65	73	126	
