h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.223	0.001	-0.730	3	0.438	0.276	0.774	-3.021	-3.979	
0.652	0.000	-0.493	1	0.438	0.276	3.451	-4.959	-1.941	
0.124	0.000	-0.367	4	0.438	0.276	0.471	-4.829	-3.657	
0.072	0.001	-0.121	2	0.439	0.277	0.495	-3.749	-5.946	
0.032	0.000	-0.251	3	0.439	0.277	0.263	-3.555	-3.626	
0.017	0.000	-0.175	2	0.439	0.277	0.234	-2.859	-4.818	
0.178	0.001	-0.167	4	0.439	0.277	0.583	-3.590	-3.436	
0.191	0.000	-0.362	3	0.439	0.276	0.701	-3.442	-3.377	
0.120	0.000	-0.315	2	0.439	0.276	0.651	-2.060	-3.373	
0.155	0.000	-0.229	4	0.439	0.277	0.535	-3.158	-3.366	
0.386	0.000	-0.158	4	0.438	0.276	0.993	-4.665	-3.467	
0.010	0.000	-0.291	3	0.438	0.276	0.142	-2.232	-3.491	
0.067	0.000	-0.276	3	0.438	0.276	0.388	-1.393	-3.533	
0.339	0.001	-0.331	2	0.438	0.276	1.263	-1.444	-3.274	
0.041	0.000	-0.319	1	0.437	0.275	0.517	-3.095	-3.270	
0.091	0.000	-0.423	2	0.438	0.275	0.557	-2.249	-2.871	
0.071	0.000	-0.415	2	0.438	0.276	0.489	-1.700	-2.897	
0.050	0.000	-0.210	3	0.438	0.276	0.329	-2.428	-3.844	
0.224	0.001	-0.219	2	0.438	0.276	0.948	-2.271	-4.212	
0.390	0.000	-0.120	4	0.438	0.276	1.000	-6.182	-3.672	
0.413	0.001	-0.187	2	0.438	0.276	1.483	-4.561	-4.635	
0.701	0.000	-0.259	2	0.438	0.276	2.714	-7.751	-3.801	
0.921	0.000	-0.248	1	0.438	0.276	8.564	-5.961	-4.163	
0.671	0.000	-0.239	1	0.438	0.275	2.216	-5.037	-4.306	
0.359	0.001	-0.203	4	0.438	0.276	0.936	-4.546	-3.373	
0.009	0.000	-0.217	4	0.439	0.276	0.116	-2.226	-3.365	
0.006	0.000	-0.190	3	0.439	0.276	0.108	-2.260	-3.985	
0.031	0.000	-0.209	1	0.439	0.276	0.447	-2.996	-4.816	
0.148	0.000	-0.526	3	0.439	0.276	0.487	-6.614	-3.484	
0.094	0.000	-0.719	1	0.439	0.276	0.807	-3.570	-1.061	
0.006	0.000	-0.723	2	0.440	0.276	0.139	-1.905	-2.504	
0.025	0.000	-0.744	1	0.439	0.276	0.400	-2.879	-0.995	
0.085	0.000	-0.612	3	0.439	0.276	0.439	-2.627	-3.658	
0.136	0.000	-0.695	1	0.440	0.276	0.995	-3.792	-1.128	
0.041	0.000	-0.563	2	0.440	0.277	0.365	-2.119	-2.574	
0.017	0.000	-0.562	3	0.440	0.277	0.189	-2.740	-3.549	
0.031	0.000	-0.395	2	0.440	0.277	0.316	-3.043	-2.973	
0.085	0.000	-0.459	1	0.440	0.277	0.764	-3.482	-2.134	
0.007	0.000	-0.160	4	0.441	0.278	0.088	-3.678	-3.459	
0.013	0.000	-0.330	2	0.441	0.278	0.207	-2.811	-3.281	
0.051	0.001	-0.369	3	0.441	0.279	0.334	-3.094	-3.373	
0.045	0.000	-0.515	3	0.442	0.279	0.314	-3.475	-3.465	
0.045	0.000	-0.586	1	0.442	0.279	0.543	-3.168	-1.502	
0.003	0.000	-0.541	3	0.442	0.279	0.077	-1.628	-3.510	
0.048	0.001	-0.436	3	0.442	0.279	0.324	-2.555	-3.377	
0.264	0.000	-0.441	1	0.442	0.279	1.500	-4.212	-2.246	
0.056	0.000	-0.442	2	0.443	0.280	0.432	-3.580	-2.811	
0.010	0.000	-0.273	1	0.443	0.280	0.243	-2.375	-3.808	
0.177	0.000	-0.393	2	0.443	0.281	0.822	-5.039	-2.979	
0.184	0.000	-0.485	1	0.444	0.281	1.178	-3.951	-1.980	
0.001	0.000	-0.517	3	0.444	0.281	0.041	-2.069	-3.468	
0.084	0.000	-0.363	4	0.444	0.281	0.321	-5.954	-3.643	
0.004	0.000	-0.619	4	0.445	0.281	0.081	-1.760	-4.827	
0.093	0.001	-0.536	3	0.445	0.281	0.463	-3.048	-3.500	
0.166	0.000	-0.475	1	0.445	0.282	0.692	-3.435	-2.039	
0.030	0.000	-0.346	3	0.445	0.282	0.253	-2.360	-3.392	
0.010	0.000	-0.521	3	0.445	0.281	0.118	-3.704	-3.475	
0.210	0.000	-0.627	1	0.446	0.282	1.293	-4.054	-1.347	
0.200	0.000	-0.613	1	0.446	0.282	1.240	-4.020	-1.399	
0.126	0.000	-0.642	2	0.446	0.282	0.670	-2.222	-2.513	
0.006	0.000	-0.715	2	0.446	0.282	0.135	-2.122	-2.503	
0.080	0.001	-0.446	2	0.446	0.282	0.520	-1.727	-2.800	
0.006	0.000	-0.340	4	0.446	0.282	0.096	-1.721	-3.570	
0.205	0.000	-0.354	2	0.446	0.282	0.899	-5.256	-3.151	
0.154	0.000	-0.537	1	0.446	0.283	1.070	-3.577	-1.716	
0.204	0.000	-0.565	1	0.446	0.283	1.258	-3.634	-1.591	
0.180	0.000	-0.710	1	0.447	0.283	0.729	-2.838	-1.083	
0.817	0.000	-0.715	1	0.447	0.283	3.285	-4.659	-1.070	
0.866	0.000	-0.751	1	0.447	0.283	3.953	-4.876	-0.977	
0.694	0.000	-0.749	1	0.447	0.284	3.737	-4.955	-0.981	
0.419	0.001	-0.586	2	0.446	0.284	1.498	-0.528	-2.550	
0.325	0.000	-0.590	2	0.446	0.283	1.227	-2.808	-2.547	
0.311	0.002	-0.580	2	0.446	0.283	1.185	-0.322	-2.557	
0.491	0.001	-0.589	2	0.445	0.283	1.734	-0.861	-2.548	
0.510	0.001	-0.739	2	0.445	0.283	1.801	-0.921	-2.507	
0.631	0.002	-0.739	2	0.444	0.282	2.308	-1.637	-2.507	
0.316	0.000	-0.713	2	0.444	0.282	1.199	-0.597	-2.503	
0.233	0.000	-0.695	3	0.443	0.282	0.794	-1.100	-3.877	
0.322	0.001	-0.561	4	0.443	0.282	0.864	-1.963	-4.519	
0.001	0.000	-0.538	2	0.443	0.281	0.065	-1.135	-2.607	
0.012	0.001	-0.500	4	0.443	0.281	0.135	-0.542	-4.216	
0.169	0.000	-0.585	2	0.443	0.281	0.801	-2.732	-2.551	
0.178	0.001	-0.489	3	0.444	0.282	0.673	-1.661	-3.428	
0.399	0.002	-0.759	3	0.443	0.282	1.176	-1.464	-4.069	
