snp	 s0	s1	s2	s3	
4	44	78	130	167	
4	26	78	130	167	
4	21	78	133	167	
4	21	78	134	167	
4	23	78	130	167	
4	18	78	130	167	
4	28	78	130	167	
4	23	78	130	167	
4	33	78	141	167	
4	26	78	141	167	
4	26	78	141	167	
4	37	78	141	167	
4	40	73	141	167	
4	33	73	141	167	
4	33	73	132	167	
4	39	73	133	167	
4	35	73	133	167	
4	37	73	130	167	
4	37	73	135	167	
4	33	73	133	167	
4	37	73	135	167	
4	40	73	134	167	
4	35	73	130	167	
4	35	73	135	167	
4	35	73	130	167	
4	8	78	130	167	
4	16	78	135	167	
4	7	73	133	167	
4	7	73	133	167	
4	12	73	132	167	
4	12	73	132	167	
4	24	73	134	167	
4	17	73	138	167	
4	17	73	133	167	
4	17	78	133	167	
4	17	78	133	167	
4	19	78	133	167	
4	19	78	138	167	
4	18	73	138	167	
4	12	73	138	167	
4	12	73	133	167	
4	12	73	130	167	
4	23	73	132	167	
4	17	73	131	167	
4	26	73	141	167	
4	26	73	138	167	
4	20	73	134	167	
4	12	73	138	167	
4	17	73	138	167	
4	17	73	131	167	
4	36	78	133	167	
4	39	78	133	167	
4	39	78	130	167	
4	36	78	132	167	
4	25	73	113	167	
4	25	73	113	167	
4	20	73	113	167	
4	20	73	113	167	
4	26	73	113	167	
4	31	73	113	167	
4	35	73	113	167	
4	35	73	113	167	
4	35	73	113	167	
4	40	73	113	167	
4	40	73	113	167	
4	40	73	113	167	
4	30	73	113	167	
4	30	73	113	167	
4	20	73	113	167	
4	20	73	113	167	
4	19	78	113	167	
4	0	78	113	167	
4	7	78	113	167	
4	26	78	113	167	
4	19	78	113	167	
4	23	78	113	167	
4	33	78	113	167	
4	35	78	122	167	
4	20	78	122	167	
4	20	78	122	167	
4	26	78	122	167	
4	20	78	130	166	
4	17	78	138	166	
4	17	78	131	166	
4	17	78	138	167	
4	23	78	138	167	
4	19	78	138	167	
4	28	78	131	167	
4	26	78	130	167	
4	18	78	131	167	
4	23	73	130	167	
4	33	73	133	167	
4	30	73	141	167	
4	28	73	141	167	
4	31	73	141	167	
4	31	73	141	167	
4	31	73	141	167	
4	31	73	141	167	
4	36	73	141	167	
4	39	73	138	167	
4	26	73	138	167	
4	25	73	141	167	
4	25	73	135	167	
4	26	73	135	167	
4	30	73	135	167	
4	35	73	141	167	
4	35	73	141	167	
4	35	73	135	167	
4	39	73	141	167	
4	35	73	133	167	
4	23	78	133	167	
4	21	78	135	167	
4	31	78	135	167	
4	33	78	132	167	
4	37	78	132	167	
4	33	73	132	167	
4	31	73	141	167	
4	40	73	141	167	
4	40	73	141	167	
4	40	78	133	167	
4	30	78	133	167	
4	37	78	122	167	
4	39	78	122	167	
4	39	78	122	167	
4	39	73	132	167	
4	39	73	132	167	
4	37	73	124	167	
4	37	73	133	167	
4	28	73	130	167	
4	28	73	130	167	
4	24	73	130	167	
4	21	73	132	167	
4	24	73	141	167	
4	26	73	132	167	
4	30	73	131	167	
4	16	78	138	167	
4	0	78	138	167	
4	0	78	135	167	
4	0	78	134	167	
4	0	78	134	167	
4	0	78	133	167	
4	0	73	131	167	
4	0	73	141	167	
4	0	73	141	167	
4	0	73	133	167	
4	0	73	138	167	
4	17	73	135	167	
4	28	73	134	167	
4	31	73	134	167	
4	31	73	134	167	
4	21	73	134	167	
4	39	73	135	167	
4	30	73	134	167	
4	30	73	134	167	
4	30	73	135	167	
4	25	73	141	167	
